question,label
"A train travels 300 miles in 5 hours. What is its speed?","yes"
"If a car travels at 60 mph for 3 hours, how far does it go?","yes"
"The sum of two numbers is 50. One number is twice the other. Find the numbers.","yes"
"A shopkeeper mixes 3 kg of sugar at $5/kg with 2 kg of sugar at $8/kg. What is the average price per kg?","yes"
"John is three times as old as his son. The sum of their ages is 48. How old is each?","yes"
"Solve for x: 3x + 5 = 20","no"
"What is the value of x if 5x - 10 = 0?","no"
"A man spends 1/4 of his salary on rent and 1/3 on food. If his salary is $1200, how much is left?","yes"
"Two pipes fill a tank in 6 hours and 4 hours respectively. How long will it take if both work together?","yes"
"A train travels 300 miles in 5 hours. What is its speed?","yes"
"If a car travels at 60 mph for 3 hours, how far does it go?","yes"
"The sum of two numbers is 50. One number is twice the other. Find the numbers.","yes"
"A shopkeeper mixes 3 kg of sugar at $5/kg with 2 kg of sugar at $8/kg. What is the average price per kg?","yes"
"John is three times as old as his son. The sum of their ages is 48. How old is each?","yes"
"A man spends 1/4 of his salary on rent and 1/3 on food. If his salary is $1200, how much is left?","yes"
"Two pipes fill a tank in 6 hours and 4 hours respectively. How long will it take if both work together?","yes"
"If the speed of the train increases by 10 mph, what will its new speed be?","no"
"If the shopkeeper adds 1 kg of sugar at $6/kg, what will be the new average price?","no"
"What if John was only twice as old as his son? What would their ages be?","no"
"If the car traveled for 5 hours instead of 3, how far would it go?","no"
"What if the salary was $1500 instead of $1200? How much would be left after expenses?","no"
"What if only one pipe was used? How long would it take to fill the tank?","no"
"P and Q each have a certain number of apples. A says to B, ""If you give me 10 of your apples, I will have twice the number of apples left with you."" B replies, ""If you give me 10 of your apples, I will have the same number of apples as left with you."" Find the number of apples with P and Q separately.","yes"
"On selling a T.V. at 5% gain and a fridge at 10% gain, Reliance Digital gains Rs 2000. But if it sells the T.V. at 10% gain and the fridge at 5% loss, he gains Rs 1500 on the transaction. Find the actual prices of T.V. and fridge.","yes"
"A and B are friends and their ages differ by 2 years. A's father D is twice as old as A and B is twice as old as his sister C. The age of D and C differ by 40 years. Find the ages of A and B.","yes"
"Five years hence, father's age will be three times the age of his son. Five years ago, the father was seven times as old as his son. Find their present ages.","yes"
"The ages of two friends Manjit and Ranjit differ by 3 years. Manjit's father Dharam is twice as old as Manjit and Ranjit is twice as old as his sister Jaspreet. The ages of Jaspreet and Dharam differ by 30 years. Find the ages of Manjit and Ranjit.","yes"
"A takes 3 hours more than B to walk 30 km. But if A doubles his pace, he is ahead of B by one and a half hours. Find their speed of walking.","yes"
"The boat goes 30 km upstream and 44 km downstream in 10 hours. In 13 hours, it can go 40 km upstream and 55 km downstream. Determine the speed of stream and that of the boat in still water.","yes"
"A sum of money becomes Rs. 6600 after 2 years and Rs. 7920 after 3 years at compound interest. Find the rate of interest per annum.","yes"
"A and B can complete a piece of work in 12 days, B and C in 15 days, and C and A in 20 days. How long will A, B, and C take together to finish the work?","yes"
"A motorboat takes 4 hours to travel 28 km upstream and 2 hours to travel the same distance downstream. Find the speed of the boat in still water and the speed of the current.","yes"
"A train is moving at a speed of 132 km/hr. If the length of the train is 110 meters, how long will it take to pass a man standing on the platform?","yes"
"A can do a piece of work in 12 days, and B can do the same work in 18 days. They work together for 4 days, and then A leaves. How many days will B take to finish the remaining work?","yes"
"A sum of Rs. 3120 is divided among A, B, and C in the ratio 5:7:9. Find the share of each.","yes"
"The sum of the digits of a two-digit number is 9. If 27 is added to the number, the digits get reversed. Find the number.","yes"
"A train crosses a platform in 30 seconds and a pole in 18 seconds. If the length of the train is 360 meters, find the length of the platform.","yes"
"The sum of the ages of A and B is 50 years. Five years ago, A's age was twice B's age. Find their present ages.","yes"
"A person buys two watches for Rs. 900. He sells one at a profit of 20% and the other at a loss of 10%. If the selling prices of both watches are equal, find their cost prices.","yes"
"A train of length 150 meters takes 30 seconds to cross a bridge of length 450 meters. Find the speed of the train in km/hr.","yes"
"A and B invest in a business in the ratio 3:2. After 6 months, C joins them with an investment equal to B's investment. At the end of the year, the profit is Rs. 25,000. Find C’s share of the profit.","yes"
"The perimeter of a rectangle is 150 meters. If its length is 5 meters more than twice its breadth, find its dimensions.","yes"
"Can this problem be solved using a different method?","no"
"What if one of the given values changes? How will the solution be affected?","no"
"Can you explain why this step was necessary in the solution?","no"
"Is there a shortcut or trick to solve this problem faster?","no"
"What would happen if we changed the conditions slightly?","no"
"Can you generalize this problem for any set of numbers?","no"
"How do we know this is the only possible solution?","no"
"Can we solve this problem using algebra instead of arithmetic?","no"
"Is there a real-world scenario where this concept is useful?","no"
"What are some common mistakes people make while solving this type of problem?","no"
"Can this problem be extended to three variables instead of two?","no"
"Is there an alternative approach using a different mathematical concept?","no"
"Can we verify the solution using a different method?","no"
"How does this problem relate to similar types of problems?","no"
"Would the answer change if we approached the problem differently?","no"
"What if we changed the unit of measurement? Would it affect the solution?","no"
"Can you explain this problem step by step in a simpler way?","no"
"What if we reversed the roles of the two given quantities?","no"
"How would we approach this problem if it involved percentages instead?","no"
"Is there a way to check if our answer is correct?","no"
"What is the value of x in this solution?","no"
"What is the value of y when x = 5?","no"
"If x = 10, what does y become in this equation?","no"
"Can we express the solution as an equation?","no"
"What happens to z if x is doubled?","no"
