problem,reasoning
"P and Q each have a certain number of apples. A says to B,If you give me 10 of your apples, I will have twice the number of apples left with you.B replies,If you give me 10 of your apples, I will have the same number of apples as left with you.Find the number of apples with P and Q separately.","
        1. Let x be the number of apples with P and y be the number of apples with Q.
        2. If B gives A 10 apples, then A has x + 10 and B has y - 10.
        3. According to A's statement, x + 10 = 2(y - 10).
        4. If A gives B 10 apples, then A has x - 10 and B has y + 10.
        5. According to B's statement, x - 10 = y + 10.
        Final Equations: 
        x + 10 = 2(y - 10) and x - 10 = y + 10
        "
"On selling a T.V. at 5% gain and a fridge at 10% gain, Reliance Digital gains Rs 2000. But if it sells the T.V. at 10% gain and the fridge at 5% loss, he gains Rs 1500 on the transaction. Find the actual prices of T.V. and fridge.","
        1. Let x be the cost price of the T.V. and y be the cost price of the fridge.
        2. Selling the T.V. at 5% gain gives 0.05x, and selling the fridge at 10% gain gives 0.10y.
        3. The total gain from selling at these rates is 0.05x + 0.10y = 2000.
        4. In the second scenario, the gain from selling the T.V. at 10% is 0.10x, and the loss from the fridge at 5% loss is -0.05y.
        5. The total gain in this case is 0.10x - 0.05y = 1500.
        Final Equations: 
        0.05x + 0.10y = 2000 and 0.10x - 0.05y = 1500
        "
A and B are friends and their ages differ by 2 years. A's father D is twice as old as A and B is twice as old as his sister C. The age of D and C differ by 40 years. Find the ages of A and B.,"
        1. Let x be the age of A and y be the age of B.
        2. The difference in their ages gives x - y = 2.
        3. Since D is twice as old as A, we have D = 2x.
        4. If B is twice as old as his sister C, we express C's age as C = y / 2.
        5. The age difference between D and C gives 2x - (y / 2) = 40.
        Final Equations: 
        x - y = 2 and 2x - (y / 2) = 40
        "
"Five years hence, father's age will be three times the age of his son. Five years ago, the father was seven times as old as his son. Find their present ages.","
        1. Let x be the father's age and y be the son's age.
        2. In 5 years, the father's age will be x + 5 and the son's age will be y + 5.
        3. Setting up the equation from the first condition, x + 5 = 3(y + 5).
        4. Five years ago, the father's age was x - 5 and the son's age was y - 5.
        5. From this condition, we have x - 5 = 7(y - 5).
        Final Equations: 
        x + 5 = 3(y + 5) and x - 5 = 7(y - 5)
        "
The ages of two friends Manjit and Ranjit differ by 3 years. Manjit's father Dharam is twice as old as Manjit and Ranjit is twice as old as his sister Jaspreet. The ages of Jaspreet and Dharam differ by 30 years. Find the ages of Manjit and Ranjit.,"
        1. Let x be the age of Manjit and y be the age of Ranjit.
        2. The age difference gives x - y = 3.
        3. Dharam's age is 2x, and Ranjit's sister's age is C = y / 2.
        4. The difference in ages between Dharam and Jaspreet gives 2x - (y / 2) = 30.
        Final Equations: 
        x - y = 3 and 2x - (y / 2) = 30
        "
"A takes 3 hours more than B to walk 30 km. But if A doubles his pace, he is ahead of B by one and a half hours. Find their speed of walking.","
        1. Let x be the speed of A and y be the speed of B.
        2. The time taken by A to walk 30 km is 30/x and by B is 30/y.
        3. From the problem statement, (30/x) - (30/y) = 3.
        4. If A doubles his speed, he travels at 2x, leading to (30/y) - (30/(2x)) = 1.5.
        Final Equations: 
        (30/x) - (30/y) = 3 and (30/y) - (30/(2x)) = 1.5
        "
"The boat goes 30 km upstream and 44 km downstream in 10 hours. In 13 hours, it can go 40 km upstream and 55 km downstream. Determine the speed of stream and that of the boat in still water.","
        1. Let x be the speed of the boat in still water and y be the speed of the stream.
        2. The effective speed upstream is (x - y) and downstream is (x + y).
        3. From the first scenario: (30/(x - y)) + (44/(x + y)) = 10.
        4. From the second scenario: (40/(x - y)) + (55/(x + y)) = 13.
        Final Equations: 
        (30/(x - y)) + (44/(x + y)) = 10 and (40/(x - y)) + (55/(x + y)) = 13
        "
A boat goes 24 km upstream and 28 km downstream in 6 hours. It goes 30 km upstream and 21 km downstream in 6 hours and 30 minutes. Find the speed of the boat in still water and also speed of the stream.,"
        1. Let x be the speed of the boat in still water and y be the speed of the stream.
        2. The equations can be set up as: (24/(x - y)) + (28/(x + y)) = 6.
        3. From the second scenario: (30/(x - y)) + (21/(x + y)) = 6.5.
        Final Equations: 
        (24/(x - y)) + (28/(x + y)) = 6 and (30/(x - y)) + (21/(x + y)) = 6.5
        "
"A man walks a certain distance with a certain speed. If he walks 1/2 km an hour faster, he takes 1 hour less. But, if he walks 1 km an hour slower, he takes 3 more hours. Find the distance covered by the man and his original rate of walking.","
        1. Let v be the original speed, t be the time taken, and d be the distance.
        2. For the faster case: vt = (v + 0.5)(t - 1).
        3. For the slower case: vt = (v - 1)(t + 3).
        Final Equations: 
        vt = (v + 0.5)(t - 1) and vt = (v - 1)(t + 3)
        "
"Anuj travels 600 km partly by train and partly by car. If he covers 400 km by train and the rest by car, it takes him 6 hours and 30 minutes. But, if he travels 200 km by train and the rest by car, he takes half an hour longer. Find the speed of the train and that of the car.","
        1. Let x be the speed of the train and y be the speed of the car.
        2. From the first scenario: (400/x) + (200/y) = 6.5.
        3. From the second scenario: (200/x) + (400/y) = 7.
        Final Equations: 
        (400/x) + (200/y) = 6.5 and (200/x) + (400/y) = 7
        "
